CODI_OPENDATA ,CODI_IDENTIFICACIO_ESTACIO,CODI_IDENTIFICACIO_EQUIP,NUMERO_DE_SERVEI,CODI_DEL_CONNECTOR,TIPO_CONNECTOR,POTENCIA_MAXIMA_DE_CARGA_(W),NUM_SERVEIS_DEL_EQUIP,NUM_DE_CONNECTORS_AL_EQUIP,TIPOLOGIA_DE_CARREGA,LATITUD,LONGITUD,DIRECCIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,CODI_POSTAL,CODI_ASIA,TIPUS_DE_ACCES,OPERADOR,TELF,TARIFA ,CONTROL_DE_ACCES,RESTRICCIO_DE_US
10101011,101,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10,Sant Martí,68,El Poblenou,08005,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
10101012,101,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10,Sant Martí,68,El Poblenou,08005,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
10101013,101,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.393464,2.204479,"Ronda del Litoral Sortida 23 - Av. Litoral, 49",10,Sant Martí,68,El Poblenou,08005,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,CÀRREGA RÀPIDA (<11kW)
10201011,102,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.401033,2.122821,"Via Augusta, 352",5,Sarrià - Sant Gervasi,23,Sarrià,08017,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10201012,102,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.401033,2.122821,"Via Augusta, 352",5,Sarrià - Sant Gervasi,23,Sarrià,08017,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10201013,102,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.401033,2.122821,"Via Augusta, 352",5,Sarrià - Sant Gervasi,23,Sarrià,08017,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
10301011,103,01,01,1,CHADEMO,50000,1,3,RÀPIDA,41.379973,2.139104,"Aparcament Viriat, 5-23 - Guitard, 1",3,Sants-Montjuic,18,Sants,08014,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,EXCLUSIU eTAXI
10301012,103,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.379973,2.139104,"Aparcament Viriat, 5-23 - Guitard, 1",3,Sants-Montjuic,18,Sants,08014,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,EXCLUSIU eTAXI
10301013,103,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.379973,2.139104,"Aparcament Viriat, 5-23 - Guitard, 1",3,Sants-Montjuic,18,Sants,08014,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,EXCLUSIU eTAXI
10302011,103,02,01,1,CHADEMO,50000,1,3,RÀPIDA,41.379943,2.139055,"Aparcament Viriat, 5-23 - Guitard, 1",3,Sants-Montjuic,18,Sants,08014,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
