time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2019-10-10 22:00:00+00:00,0.0,0.0,20.19,20.21,15.52,0.75,1023.0,0.19,2.74,290,0.88,0,10.294,268.2
2019-10-10 23:00:00+00:00,0.0107,0.01,19.62,19.73,16.1,0.8,1023.17,0.34,2.75,283,0.88,0,10.127,268.1
2019-10-11 00:00:00+00:00,0.0059,0.01,19.54,19.67,16.23,0.81,1022.89,1.22,2.08,276,1.0,0,10.003,270.2
2019-10-11 01:00:00+00:00,0.0062,0.01,19.6,19.76,16.45,0.82,1022.93,0.76,1.8,331,1.0,0,9.952,271.4
2019-10-11 02:00:00+00:00,0.0119,0.02,19.37,19.54,16.52,0.84,1022.56,0.64,1.59,311,0.88,0,9.929,272.9
2019-10-11 03:00:00+00:00,0.0204,0.02,19.47,19.59,16.14,0.81,1022.25,0.56,1.49,297,0.88,0,9.927999999999999,274.0
2019-10-11 04:00:00+00:00,0.0213,0.02,19.47,19.73,17.12,0.86,1022.23,1.09,1.62,295,0.88,0,9.943,274.7
2019-10-11 05:00:00+00:00,0.0203,0.02,19.59,19.83,17.05,0.85,1022.38,0.84,1.82,318,0.75,0,9.98,275.0
2019-10-11 06:00:00+00:00,0.0,0.0,19.21,19.38,16.44,0.84,1022.05,1.34,2.07,335,0.6,0,9.468,273.6
2019-10-11 07:00:00+00:00,0.0,0.0,20.35,20.45,16.17,0.77,1022.66,1.4,8.14,314,0.44,0,10.005,273.5
2019-10-11 08:00:00+00:00,0.0124,0.01,21.06,21.12,16.0,0.73,1023.23,2.05,2.46,333,0.58,1,10.007,273.2
2019-10-11 09:00:00+00:00,0.0207,0.02,21.52,21.62,16.42,0.73,1023.35,2.91,2.91,302,0.75,2,10.003,272.9
2019-10-11 10:00:00+00:00,0.0169,0.01,22.04,22.05,15.67,0.67,1023.11,2.19,3.76,318,0.88,3,10.003,272.2
2019-10-11 11:00:00+00:00,0.0088,0.01,23.61,23.7,16.4,0.64,1022.79,3.6,4.82,238,0.88,3,10.003,271.4
2019-10-11 12:00:00+00:00,0.0,0.0,23.72,23.84,16.69,0.65,1022.49,3.85,6.1,206,0.88,4,10.003,269.9
2019-10-11 13:00:00+00:00,0.0,0.0,24.13,24.31,17.3,0.66,1021.4,4.1,6.64,212,0.88,3,10.003,268.8
2019-10-11 14:00:00+00:00,0.0,0.0,24.25,24.5,17.97,0.68,1020.56,3.8,6.92,206,0.88,2,10.003,267.8
2019-10-11 15:00:00+00:00,0.0,0.0,23.82,24.17,18.7,0.73,1019.96,3.86,7.07,214,0.75,1,10.003,266.7
2019-10-11 16:00:00+00:00,0.0,0.0,23.77,24.19,19.27,0.76,1019.75,4.39,7.15,213,0.75,0,10.002,265.6
2019-10-11 17:00:00+00:00,0.0,0.0,23.22,23.65,19.28,0.79,1019.53,3.66,7.1,215,0.75,0,10.002,264.5
2019-10-11 18:00:00+00:00,0.0,0.0,22.6,23.05,19.3,0.82,1019.91,2.91,6.34,217,0.44,0,10.003,264.8
2019-10-11 19:00:00+00:00,0.0,0.0,22.06,22.51,19.17,0.84,1020.47,3.0,5.99,219,0.49,0,10.111,264.3
2019-10-11 20:00:00+00:00,0.0,0.0,22.15,22.61,19.3,0.84,1021.16,2.06,5.57,238,0.49,0,10.255,263.7
