time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
2019-10-11 22:00:00+00:00,0.0124,0.01,20.2,20.62,18.5,0.9,1021.52,1.15,4.27,258,0.44,0,10.247,262.5
2019-10-11 23:00:00+00:00,0.0217,0.01,19.69,20.14,18.49,0.93,1021.36,0.15,3.47,132,0.73,0,10.107,261.8
2019-10-12 00:00:00+00:00,0.0308,0.01,19.18,19.57,17.94,0.93,1021.08,0.15,2.73,263,0.73,0,10.003,261.2
2019-10-12 01:00:00+00:00,0.034,0.01,19.19,19.57,17.91,0.92,1021.12,0.58,2.21,343,0.48,0,10.146,260.7
2019-10-12 02:00:00+00:00,0.0583,0.01,19.06,19.45,17.88,0.93,1020.6,0.59,1.9,319,0.19,0,10.38,259.7
2019-10-12 03:00:00+00:00,0.0766,0.02,18.53,18.95,17.9,0.96,1020.11,0.82,1.75,312,0.19,0,10.503,259.2
2019-10-12 04:00:00+00:00,0.0695,0.03,18.03,18.48,17.93,0.99,1020.04,0.41,1.77,307,0.44,0,10.390999999999998,259.2
2019-10-12 05:00:00+00:00,0.0534,0.03,18.09,18.46,17.44,0.96,1020.11,0.54,1.93,243,0.59,0,10.169,259.7
2019-10-12 06:00:00+00:00,0.0146,0.01,18.16,18.61,17.94,0.99,1020.47,2.14,2.14,305,0.75,0,9.486,260.3
2019-10-12 07:00:00+00:00,0.0123,0.01,19.16,19.6,18.25,0.94,1020.74,1.31,2.34,332,0.6,0,9.449,260.6
2019-10-12 08:00:00+00:00,0.019,0.01,20.21,20.66,18.68,0.91,1021.07,0.91,2.87,357,0.6,1,9.984,261.0
2019-10-12 09:00:00+00:00,0.0266,0.02,21.61,22.08,19.29,0.87,1021.2,0.81,3.24,343,0.6,2,10.003,261.7
2019-10-12 10:00:00+00:00,0.0221,0.02,24.16,24.68,20.19,0.79,1021.12,1.29,3.23,132,0.6,3,10.003,262.7
2019-10-12 11:00:00+00:00,0.0145,0.01,24.73,25.05,18.61,0.69,1020.86,2.05,3.15,129,0.6,4,10.003,264.1
2019-10-12 12:00:00+00:00,0.0104,0.01,24.73,25.05,18.57,0.69,1020.45,3.9,3.9,140,0.32,4,10.003,265.3
2019-10-12 13:00:00+00:00,0.0,0.0,23.95,24.33,18.97,0.74,1019.78,4.44,4.44,121,0.32,4,9.99,264.7
2019-10-12 14:00:00+00:00,0.0,0.0,23.29,23.63,18.53,0.75,1018.93,4.4,4.4,132,0.32,3,9.977,265.7
2019-10-12 15:00:00+00:00,0.0,0.0,22.99,23.36,18.75,0.77,1018.33,3.87,4.29,128,0.19,1,10.003,266.6
2019-10-12 16:00:00+00:00,0.0,0.0,22.93,23.3,18.72,0.77,1018.23,3.08,4.37,120,0.19,0,10.12,267.5
